date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:47:58	132420/132420	---M--	200	added ('OK')	text/html	etag:%2297b22c-20544-5cd6cebea1ee0%22	https://portotheme.com/html/wolmart/blog.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:47:59	3167/3167	---M--	200	added ('OK')	text/html	etag:%2297b32a-c5f-5cd6cebeced9f%22	https://portotheme.com/html/wolmart/assets/ajax/login.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/ajax/login.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:47:59	2412/2412	---M--	200	added ('OK')	image/png	etag:%2297b43a-96c-5cd6cebee06df%22	https://portotheme.com/html/wolmart/assets/images/logo.png	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/images/logo.png	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:00	122417/122417	---M--	200	added ('OK')	text/html	etag:%2297bb6f-1de31-5cd6cebf5138c%22	https://portotheme.com/html/wolmart/wishlist.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/wishlist.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:00	3039/3039	---M--	200	added ('OK')	image/jpeg	etag:%2297b5dd-bdf-5cd6cebef8d7e%22	https://portotheme.com/html/wolmart/assets/images/cart/product-1.jpg	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/images/cart/product-1.jpg	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:00	124191/124191	---M--	200	added ('OK')	text/html	etag:%2297bb5e-1e51f-5cd6cebf4f834%22	https://portotheme.com/html/wolmart/compare.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/compare.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:00	2478/2478	---M--	200	added ('OK')	image/jpeg	etag:%2297b5de-9ae-5cd6cebef8d7e%22	https://portotheme.com/html/wolmart/assets/images/cart/product-2.jpg	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/images/cart/product-2.jpg	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:00	118352/118352	---M--	200	added ('OK')	text/html	etag:%2297bb66-1ce50-5cd6cebf503ec%22	https://portotheme.com/html/wolmart/cart.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/cart.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:01	130531/130531	---M--	200	added ('OK')	text/html	etag:%2297bb68-1fde3-5cd6cebf507d4%22	https://portotheme.com/html/wolmart/checkout.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/checkout.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:01	165769/165769	---M--	200	added ('OK')	text/html	etag:%2297bb86-28789-5cd6cebf53e84%22	https://portotheme.com/html/wolmart/shop-fullwidth-banner.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-fullwidth-banner.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:01	16048/16048	---M--	200	added ('OK')	image/jpeg	etag:%2297b569-3eb0-5cd6cebef2406%22	https://portotheme.com/html/wolmart/assets/images/menu/banner-2.jpg	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/images/menu/banner-2.jpg	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:01	253825/253825	---M--	200	added ('OK')	text/html	etag:%2297bb7e-3df81-5cd6cebf52ee4%22	https://portotheme.com/html/wolmart/product-default.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-default.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:01	19249/19249	---M--	200	added ('OK')	image/jpeg	etag:%2297b563-4b31-5cd6cebef201e%22	https://portotheme.com/html/wolmart/assets/images/menu/banner-3.jpg	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/images/menu/banner-3.jpg	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:02	180233/180233	---M--	200	added ('OK')	text/html	etag:%2297bb61-2c009-5cd6cebf4fc1c%22	https://portotheme.com/html/wolmart/shop-banner-sidebar.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-banner-sidebar.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:02	10414/10414	---M--	200	added ('OK')	image/jpeg	etag:%2297b568-28ae-5cd6cebef2406%22	https://portotheme.com/html/wolmart/assets/images/menu/banner-4.jpg	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/images/menu/banner-4.jpg	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:02	6075/6075	---M--	200	added ('OK')	image/jpeg	etag:%2297b564-17bb-5cd6cebef201e%22	https://portotheme.com/html/wolmart/assets/images/menu/banner-5.jpg	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/images/menu/banner-5.jpg	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:02	8286/8286	---M--	200	added ('OK')	image/jpeg	etag:%2297b565-205e-5cd6cebef2406%22	https://portotheme.com/html/wolmart/assets/images/menu/banner-6.jpg	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/assets/images/menu/banner-6.jpg	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:03	164760/164760	---M--	200	added ('OK')	text/html	etag:%2297b238-28398-5cd6cebea3268%22	https://portotheme.com/html/wolmart/shop-boxed-banner.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-boxed-banner.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:04	187719/187719	---M--	200	added ('OK')	text/html	etag:%2297bb76-2dd47-5cd6cebf51f44%22	https://portotheme.com/html/wolmart/shop-off-canvas.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-off-canvas.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:04	179130/179130	---M--	200	added ('OK')	text/html	etag:%2297b231-2bbba-5cd6cebea26b0%22	https://portotheme.com/html/wolmart/shop-right-sidebar.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-right-sidebar.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:04	176729/176729	---M--	200	added ('OK')	text/html	etag:%2297bb56-2b259-5cd6cebf4ec7c%22	https://portotheme.com/html/wolmart/shop-horizontal-filter.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-horizontal-filter.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:04	177820/177820	---M--	200	added ('OK')	text/html	etag:%2297b24e-2b69c-5cd6cebea5d60%22	https://portotheme.com/html/wolmart/shop-infinite-scroll.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-infinite-scroll.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:04	204362/204362	---M--	200	added ('OK')	text/html	etag:%2297b25c-31e4a-5cd6cebea78b8%22	https://portotheme.com/html/wolmart/shop-both-sidebar.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-both-sidebar.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:05	179303/179303	---M--	200	added ('OK')	text/html	etag:%2297bb93-2bc67-5cd6cebf559dc%22	https://portotheme.com/html/wolmart/shop-grid-3cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-grid-3cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:05	188798/188798	---M--	200	added ('OK')	text/html	etag:%2297b244-2e17e-5cd6cebea4dc0%22	https://portotheme.com/html/wolmart/shop-grid-5cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-grid-5cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:05	179313/179313	---M--	200	added ('OK')	text/html	etag:%2297b254-2bc71-5cd6cebea6918%22	https://portotheme.com/html/wolmart/shop-grid-4cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-grid-4cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:06	171951/171951	---M--	200	added ('OK')	text/html	etag:%2297bb57-29faf-5cd6cebf4ec7c%22	https://portotheme.com/html/wolmart/shop-grid-7cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-grid-7cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:06	177944/177944	---M--	200	added ('OK')	text/html	etag:%2297bb84-2b718-5cd6cebf53a9c%22	https://portotheme.com/html/wolmart/shop-grid-8cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-grid-8cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:06	165769/165769	---M--	200	added ('OK')	text/html	etag:%2297b24b-28789-5cd6cebea5978%22	https://portotheme.com/html/wolmart/shop-grid-6cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-grid-6cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:07	152791/152791	---M--	200	added ('OK')	text/html	etag:%2297b258-254d7-5cd6cebea70e8%22	https://portotheme.com/html/wolmart/shop-list.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-list.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:07	167948/167948	---M--	200	added ('OK')	text/html	etag:%2297b259-2900c-5cd6cebea70e8%22	https://portotheme.com/html/wolmart/shop-list-sidebar.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/shop-list-sidebar.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:08	247234/247234	---M--	200	added ('OK')	text/html	etag:%2297bb64-3c5c2-5cd6cebf50004%22	https://portotheme.com/html/wolmart/product-variable.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-variable.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:08	243992/243992	---M--	200	added ('OK')	text/html	etag:%2297b22b-3b918-5cd6cebea1af8%22	https://portotheme.com/html/wolmart/product-accordion.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-accordion.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:09	246767/246767	---M--	200	added ('OK')	text/html	etag:%2297b247-3c3ef-5cd6cebea51a8%22	https://portotheme.com/html/wolmart/product-featured.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-featured.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:09	192067/192067	---M--	200	added ('OK')	text/html	etag:%2297b257-2ee43-5cd6cebea6d00%22	https://portotheme.com/html/wolmart/product-section.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-section.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:09	257629/257629	---M--	200	added ('OK')	text/html	etag:%2297b22e-3ee5d-5cd6cebea22c8%22	https://portotheme.com/html/wolmart/product-swatch.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-swatch.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:10	250464/250464	---M--	200	added ('OK')	text/html	etag:%2297bb9b-3d260-5cd6cebf56594%22	https://portotheme.com/html/wolmart/product-extended.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-extended.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:10	237907/237907	---M--	200	added ('OK')	text/html	etag:%2297bb8c-3a153-5cd6cebf54a3c%22	https://portotheme.com/html/wolmart/product-video.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-video.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:10	210499/210499	---M--	200	added ('OK')	text/html	etag:%2297bb6e-33643-5cd6cebf5138c%22	https://portotheme.com/html/wolmart/product-without-sidebar.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-without-sidebar.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:11	246551/246551	---M--	200	added ('OK')	text/html	etag:%2297bb94-3c317-5cd6cebf559dc%22	https://portotheme.com/html/wolmart/product-vertical.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-vertical.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:11	241586/241586	---M--	200	added ('OK')	text/html	etag:%2297bb5f-3afb2-5cd6cebf4f834%22	https://portotheme.com/html/wolmart/product-grid.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-grid.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:11	243502/243502	---M--	200	added ('OK')	text/html	etag:%2297b23e-3b72e-5cd6cebea3e20%22	https://portotheme.com/html/wolmart/product-masonry.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-masonry.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:12	245065/245065	---M--	200	added ('OK')	text/html	etag:%2297b253-3bd49-5cd6cebea6530%22	https://portotheme.com/html/wolmart/product-gallery.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-gallery.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:12	236589/236589	---M--	200	added ('OK')	text/html	etag:%2297bb67-39c2d-5cd6cebf503ec%22	https://portotheme.com/html/wolmart/product-sticky-thumb.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-sticky-thumb.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:12	215517/215517	---M--	200	added ('OK')	text/html	etag:%2297b242-349dd-5cd6cebea49d8%22	https://portotheme.com/html/wolmart/product-sticky-both.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-sticky-both.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:13	242086/242086	---M--	200	added ('OK')	text/html	etag:%2297b239-3b1a6-5cd6cebea3650%22	https://portotheme.com/html/wolmart/product-sticky-info.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/product-sticky-info.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:13	120924/120924	---M--	200	added ('OK')	text/html	etag:%2297bb90-1d85c-5cd6cebf5520c%22	https://portotheme.com/html/wolmart/vendor-dokan-store-list.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/vendor-dokan-store-list.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:13	128382/128382	---M--	200	added ('OK')	text/html	etag:%2297bb70-1f57e-5cd6cebf5138c%22	https://portotheme.com/html/wolmart/vendor-wcfm-store-list.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/vendor-wcfm-store-list.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:14	167902/167902	---M--	200	added ('OK')	text/html	etag:%2297b255-28fde-5cd6cebea6918%22	https://portotheme.com/html/wolmart/vendor-dokan-store.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/vendor-dokan-store.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:14	123314/123314	---M--	200	added ('OK')	text/html	etag:%2297bb69-1e1b2-5cd6cebf507d4%22	https://portotheme.com/html/wolmart/vendor-wcmp-store-list.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/vendor-wcmp-store-list.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:14	119195/119195	---M--	200	added ('OK')	text/html	etag:%2297bb99-1d19b-5cd6cebf561ac%22	https://portotheme.com/html/wolmart/vendor-wc-store-list.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/vendor-wc-store-list.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:14	196860/196860	---M--	200	added ('OK')	text/html	etag:%2297bb79-300fc-5cd6cebf5232c%22	https://portotheme.com/html/wolmart/vendor-wcfm-store-product-grid.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/vendor-wcfm-store-product-grid.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:15	132651/132651	---M--	200	added ('OK')	text/html	etag:%2297bb72-2062b-5cd6cebf51774%22	https://portotheme.com/html/wolmart/blog-listing.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-listing.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:15	119618/119618	---M--	200	added ('OK')	text/html	etag:%2297b23c-1d342-5cd6cebea3e20%22	https://portotheme.com/html/wolmart/blog-grid-3cols.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/blog-grid-3cols.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:15	182081/182081	---M--	200	added ('OK')	text/html	etag:%2297bb7c-2c741-5cd6cebf52afc%22	https://portotheme.com/html/wolmart/vendor-wcmp-store-product-grid.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/vendor-wcmp-store-product-grid.html	(from https://portotheme.com/html/wolmart/demo1.html)
05:48:15	153658/153658	---M--	200	added ('OK')	text/html	etag:%2297b22d-2583a-5cd6cebea1ee0%22	https://portotheme.com/html/wolmart/vendor-wc-store-product-grid.html	C:/My%20Web%20Sites/wolmart/portotheme.com/html/wolmart/vendor-wc-store-product-grid.html	(from https://portotheme.com/html/wolmart/demo1.html)
